Question,Answer
هل يمكنني حجز موعد مع طبيب باطنية؟,نعم، يمكنك حجز موعد مع طبيب متخصص في تخصص الباطنية.
هل يمكنني الحصول على استشارة عن طريق الهاتف؟,نعم، من بين الخدمات المتاحة التواصل الصوتي والمرئي.
هل يمكنني حجز موعد عبر الموقع الإلكتروني؟,نعم، يمكن حجز المواعيد المسبقة لضمان حصولك على الرعاية اللازمة.
هل تقدمون خدمات للعائلات؟,نعم، نقدم خيارات اشتراك متعددة تناسب احتياجات الأفراد والعائلات.
ما هي المدة المتوقعة للرد على استفسارات البريد الإلكتروني؟,يتم الرد على استفسارات البريد الإلكتروني خلال 24 ساعة عمل.
ما هي فوائد العضويات السنوية؟,توفر العضويات السنوية خصومات إضافية ووصولاً غير محدود لبعض الخدمات.
ما هي أهمية "الاحترافية" كقيمة أساسية؟,تعني أن الشركة تضمن أن جميع خدماتها الطبية تُقدم من قبل متخصصين مؤهلين، وتلتزم بأعلى معايير الرعاية الصحية العالمية.
هل يمكنني طلب الأدوية التي وصفت لي إلكترونياً؟,نعم، يمكنك صرف الوصفات الطبية الإلكترونية التي يكتبها أطباؤنا.
هل يمكنني حجز استشارة في أي وقت؟,نعم، يمكنك الحصول على استشارات فورية أو مجدولة.
ما هو التزام الشركة تجاه الشفافية؟,نلتزم بتقديم معلومات واضحة وصادقة حول خدماتنا وتكاليفها.
هل يمكنني استخدام تطبيق Apple Pay للدفع؟,نعم، يمكنك الدفع السريع والآمن عبر تطبيق Apple Pay.
ما هي أنواع الاستشارات النفسية التي تقدمونها؟,نقدم جلسات استشارية مع أخصائيين نفسيين ومعالجين سلوكيين.
هل يمكنني الحصول على استشارة بخصوص مشاكل النساء والولادة؟,نعم، نوفر استشارات مع أطباء نساء وولادة.
ما هي شروط الاشتراك في الخدمات؟,باستخدامك لخدمات الشركة، فإنك توافق على الالتزام بالشروط والأحكام.
هل يمكنني الحصول على استشارة من أخصائي تغذية؟,نعم، نقدم استشارات في مجالات التغذية.
هل يمكنني الحصول على معلومات حول كيفية الوقاية من الأمراض؟,نعم، تقدم الشركة استشارات حول الوقاية من الأمراض وتغيير نمط الحياة لتعزيز الصحة العامة.
ما هو الغرض من تقديم استشارات طبية عبر الفيديو؟,الغرض هو توفير رعاية طبية شاملة وعالية الجودة في أي وقت ومن أي مكان.
هل يمكنني حجز موعد مع أخصائي نفسي عبر الفيديو؟,نعم، يمكنك حجز جلسات استشارية مع أخصائيين نفسيين.
ما هو هدف الشركة من تقديم خدمات الطب عن بُعد للمؤسسات؟,الهدف هو تقديم حزم رعاية صحية رقمية للشركات لرعاية موظفيهم وتعزيز رفاهيتهم.
ما هي إجراءات الأمان المتبعة لحماية البيانات؟,يتم تشفير جميع الاتصالات والبيانات باستخدام أحدث بروتوكولات الأمان.
هل يمكنني الاطلاع على ملفات الأطباء المتوفرين؟,نعم، يمكنك تصفح ملفات الأطباء المتوفرين والاطلاع على تخصصاتهم وخبراتهم.
هل يمكنني إلغاء الاشتراك بنفسي؟,نعم، يمكنك تسجيل الدخول إلى حسابك وإلغاء الاشتراك من "إدارة الاشتراكات".
ما هي المعلومات التي يتم جمعها؟,يتم جمع البيانات الشخصية (مثل الاسم والعمر) والمعلومات الصحية (التاريخ المرضي والتشخيصات).
ما هو الغرض من "التعاطف والرعاية" في تعاملكم مع المرضى؟,التعامل مع كل مريض كفرد فريد وتقديم الرعاية بتعاطف وتفهم، مع توفير بيئة داعمة ومريحة.
ما هي أنواع الملفات التي يمكن تبادلها خلال الاستشارة؟,يمكن تبادل الملفات والصور لتحسين جودة التشخيص.
هل يمكنني طلب مساعدة من الدعم الفني عبر الهاتف في أي وقت؟,فريق الدعم المخصص متوفر للإجابة على الاستفسارات التقنية والخدمية خلال ساعات العمل الرسمية.
ما هي وسائل التواصل الاجتماعي المتاحة لشركة الشفاء الرقمية؟,تويتر (X)، لينكد إن، فيسبوك، وإنستغرام.
ماذا يحدث إذا واجهت صعوبة في إلغاء الاشتراك؟,يمكنك التواصل مع فريق الدعم الفني لمساعدتك في إتمام عملية الإلغاء.
ما هو الغرض من "التيسير والسرعة"؟,الهدف هو جعل الرعاية الصحية سهلة ومتاحة للجميع، وتوفير حلولاً سريعة وفعالة للحصول على الاستشارات.
هل يمكنني الحصول على استشارة بخصوص مشاكل الأذن؟,نعم، لدينا أطباء متخصصون في الأنف والأذن والحنجرة.
ما هو الالتزام الأساسي لسياسة الخصوصية؟,تتعهد سياسة الخصوصية بجمع البيانات فقط لغرض تقديم الخدمات الطبية وتحسينها، وبموافقة صريحة من المستخدم.
هل يمكنني طلب الأدوية التي تتطلب وصفة طبية؟,نعم، يمكن صرف الوصفات الطبية الإلكترونية التي يكتبها أطباؤنا.
هل يتم حفظ السجل الطبي الإلكتروني للمريض؟,نعم، يتم تخزين السجل الطبي للمريض بشكل آمن.
ما هي القيمة المضافة من استخدام التكنولوجيا في الشركة؟,تسخير أحدث التكنولوجيا الرقمية لبناء جسر فعال بين المرضى والخبراء الطبيين.
هل يمكنني حجز استشارة للأطفال؟,نعم، يمكنك حجز استشارة نيابة عن الأطفال.
ما هي فوائد الاستشارات الطبية عبر الفيديو؟,تمكنك من الحصول على استشارات طبية موثوقة ومتابعة مستمرة في أي وقت ومن أي مكان.
هل يمكنني الدفع عبر المحافظ الرقمية؟,نعم، يمكنك الدفع عبر تطبيق Apple Pay و STC Pay.
ما هو عنوان البريد الإلكتروني للدعم الفني؟,البريد الإلكتروني للدعم هو support@alshifa-care.com.
ما هي شروط الاستخدام المتعلقة بالملكية الفكرية؟,يُمنع نسخ، تعديل، توزيع، أو إعادة نشر أي من المواد الموجودة على المنصة دون إذن كتابي مسبق.
هل يمكنني حجز موعد مع أخصائي سلوكي؟,نعم، نقدم جلسات استشارية مع أخصائيين نفسيين ومعالجين سلوكيين.
ما هي فوائد نظام السجلات الطبية الإلكترونية؟,يقلل من الحاجة لتكرار الفحوصات ويسهل عملية المتابعة.
هل يمكنني الحصول على دعم بخصوص إدارة الإجهاد؟,نعم، نقدم استشارات في مجالات إدارة الإجهاد.
ما هي أوقات العمل الرسمية للشركة؟,من الأحد إلى الخميس، من 9 صباحًا حتى 9 مساءً بتوقيت المملكة العربية السعودية (EEST).
هل يمكنني طلب استشارة بخصوص الأمراض الشائعة؟,نعم، نوفر حملات توعية صحية دورية حول الأمراض الشائعة وطرق الوقاية منها.
ما هي طريقة تصفح الأطباء المتاحة؟,يمكنك تصفح ملفات الأطباء المتوفرين، والاطلاع على تخصصاتهم، خبراتهم، وتقييمات المرضى الآخرين.
هل يمكنني الحصول على شرح لتاريخي المرضي؟,نعم، يتم تخزين السجل الطبي للمريض بما في ذلك التشخيصات والأدوية الموصوفة وتاريخ الاستشارات.
هل يمكنني حجز موعد للكشف الجسدي في عيادتكم في أي وقت؟,يمكنك حجز المواعيد المسبقة لضمان حصولك على الرعاية اللازمة في الوقت المناسب.
ما هي سياسة الدفع عند استخدام الباقات الكبيرة؟,يمكن الترتيب للدفع عن طريق التحويل البنكي لبعض الخدمات أو الباقات الكبيرة.
هل يمكنني الحصول على دعم لبرامج متابعة السكري؟,نعم، نوفر برامج مخصصة لمتابعة المؤشرات الحيوية مثل السكري للأشخاص المعرضين للخطر.
ما هي شروط الاستخدام المتعلقة بالقانون الحاكم؟,تخضع شروط الاستخدام وتُفسر وفقًا لقوانين المملكة العربية السعودية.
ما هو الغرض من استخدام ملفات تعريف الارتباط؟,الهدف هو تحسين تجربة التصفح، تحليل أداء الموقع، وتخصيص المحتوى.
هل يمكنني طلب الأدوية التي تتطلب وصفة طبية إلكترونياً؟,نعم، يمكن صرف الوصفات الطبية الإلكترونية التي يكتبها أطباؤنا.
هل يتم تخزين بياناتي بشكل آمن؟,نعم، يتم تطبيق إجراءات أمنية صارمة على خوادمنا وقواعد بياناتنا لمنع الوصول غير المصرح به.
ما هو التزام الشركة تجاه خصوصية المريض؟,خصوصية المريض هي على رأس أولوياتنا، ونلتزم بأقصى درجات السرية.
ما هي أنواع الخدمات التي يمكن أن أحصل عليها للرعاية النفسية؟,يمكنك الحصول على جلسات استشارية مع أخصائيين نفسيين ومعالجين سلوكيين.
ما هو نطاق التخصصات المتاحة للاستشارات؟,لدينا أطباء متخصصون في مختلف التخصصات مثل الباطنية، الأطفال، الجلدية، النساء والولادة، العيون، والأنف والأذن والحنجرة.
هل يمكنني الحصول على مساعدة فورية للدعم الفني؟,نعم، الدردشة المباشرة متوفرة على مدار الساعة (24/7) على موقعنا الإلكتروني.
ما هي أنواع الاستشارات التي تقدمونها للأطفال؟,نقدم استشارات مع أطباء متخصصين في تخصص الأطفال.
ما هو التزام الشركة تجاه جودة الرعاية؟,نلتزم بتقديم أعلى معايير الرعاية الصحية وفقًا لأفضل الممارسات العالمية.
ما هي فوائد برامج الصحة الوقائية؟,تساعد على الوقاية من الأمراض وتغيير نمط الحياة لتعزيز الصحة العامة.
ما هي شروط الاستخدام المتعلقة بالطوارئ الطبية؟,تُخصص خدماتنا للحالات غير الطارئة فقط، ويجب البحث عن رعاية طبية فورية في حالة الطوارئ.
هل يمكنني استخدام خدمة الصيدلة لتوصيل الأدوية الموصوفة لي؟,نعم، يمكنك صرف الوصفات الطبية الإلكترونية وتوصيل الأدوية إليك
هل الصيدلية الإلكترونية توفر جميع أنواع الأدوية؟,تسعى صيدليتنا لتوفير مجموعة واسعة من الأدوية والمستلزمات الطبية، بما في ذلك الأدوية الموصوفة وغير الموصوفة.
ما هي المدة الزمنية لتوصيل الأدوية؟,تختلف مدة التوصيل حسب الموقع الجغرافي، ولكننا نسعى لتوصيل الأدوية في أقرب وقت ممكن.
هل تتوفر خدمة توصيل الأدوية في جميع مناطق المملكة؟,نعمل على توسيع نطاق تغطية خدمة التوصيل لتشمل معظم مناطق المملكة العربية السعودية.
هل يمكنني استلام الأدوية من الصيدلية بدلاً من التوصيل؟,حالياً، الخدمة الأساسية هي التوصيل المنزلي، ولكن يمكنك الاستفسار من فريق الدعم عن خيارات أخرى إن وجدت.
هل يمكنني الحصول على استشارة لمتابعة حالة مزمنة؟,نعم، نقدم خدمات متابعة للحالات المزمنة لضمان استمرارية الرعاية الصحية.
هل يمكنني حجز استشارة لأحد أفراد أسرتي؟,نعم، يمكنك حجز استشارة لأفراد عائلتك، مع ضرورة تقديم معلوماتهم الطبية الصحيحة.
هل تقدمون استشارات للأطفال؟,نعم، لدينا أطباء متخصصون في طب الأطفال لتقديم الاستشارات اللازمة.
هل تتوفر استشارات الرعاية النفسية لجميع الأعمار؟,نعم، نقدم استشارات نفسية لمختلف الفئات العمرية بما في ذلك الأطفال، المراهقين، والبالغين.
ما هي سياسة الخصوصية الخاصة بالبيانات الطبية؟,يتم جمع البيانات الشخصية فقط لتقديم الخدمة، ولا يتم مشاركتها مع أي طرف ثالث دون إذن مسبق، ويتم تشفير جميع الاتصالات والبيانات.
هل يمكنني طلب نسخة من سجلي الطبي عبر المنصة؟,نعم، يمكنك طلب الوصول إلى سجلك الطبي المحفوظ لدينا وفقًا لسياسة الخصوصية وشروط الاستخدام.
هل الخدمات متوفرة خارج المملكة العربية السعودية؟,حالياً، نركز على خدمة العملاء داخل المملكة العربية السعودية، ولكننا ندرس التوسع المستقبلي.
هل يمكنني تغيير موعد الاستشارة المحجوز؟,نعم، يمكنك تغيير موعد الاستشارة من خلال حسابك أو بالتواصل مع الدعم الفني، مع مراعاة سياسة الإلغاء والتعديل.
هل يمكن إلغاء الاستشارة واسترداد المبلغ؟,يمكن إلغاء الاستشارة وطلب استرداد المبلغ إذا تم الإلغاء خلال الفترة المحددة في شروط الخدمة.
هل أحتاج إلى دفع رسوم إضافية على الاستشارة؟,الرسوم موضحة ضمن تفاصيل الباقة أو الخدمة المختارة. قد تفرض رسوم إضافية لخدمات معينة يتم توضيحها مسبقاً.
هل توفرون خدمة عملاء باللغة الإنجليزية؟,نعم، يتوفر لدينا دعم عملاء يتحدث اللغة الإنجليزية بالإضافة إلى اللغة العربية.
ما هي الخطوات المتبعة عند الشعور بتحسن بعد الاستشارة؟,ننصح بمتابعة خطة العلاج الموصوفة، وفي حال الحاجة، يمكنك حجز استشارة متابعة مع نفس الطبيب.
هل يمكنني تقييم الطبيب بعد الاستشارة؟,نعم، نشجع المستخدمين على تقييم الأطباء بعد كل استشارة للمساهمة في تحسين جودة الخدمة.
هل يمكنني تقديم شكوى في حال عدم رضائي عن الخدمة؟,نعم، يمكنك تقديم شكوى عبر قنوات الدعم المتاحة، وسنتعامل معها بجدية واهتمام.
هل تتوفر باقات اشتراك شهرية أو سنوية؟,نعم، نوفر باقات اشتراك شهرية وسنوية لتلبية الاحتياجات المختلفة، مع مزايا وخصومات خاصة.
هل هناك فترة تجريبية مجانية للخدمات؟,حالياً لا توجد فترة تجريبية مجانية، ولكن قد نقدم عروضًا خاصة من وقت لآخر.
هل توفرون خدمة ترجمة فورية أثناء الاستشارة؟,لا نقدم خدمة ترجمة فورية حاليًا، ولكن يمكن اختيار أطباء يتحدثون لغات متعددة.
هل يتم تسجيل الاستشارات لأغراض المراجعة؟,يتم تسجيل بعض الاستشارات لأغراض ضمان الجودة والتدريب، مع الحفاظ على السرية التامة وبعد موافقتك الصريحة.
هل يمكن للطبيب طلب فحوصات مخبرية؟,نعم، يمكن للطبيب طلب فحوصات مخبرية وإرسال طلب التحويل إلكترونياً.
هل يمكنني تحميل نتائج الفحوصات الطبية لمراجعتها؟,نعم، يمكنك تحميل نتائج الفحوصات المخبرية والأشعة ليقوم الطبيب بمراجعتها وتقديم رأيه.
ما هي الإجراءات المتبعة في حال انقطاع الاتصال أثناء الاستشارة؟,في حال انقطاع الاتصال، سيحاول الطبيب أو فريق الدعم إعادة الاتصال بك لإكمال الاستشارة.
هل يمكنني تغيير كلمة المرور لحسابي؟,نعم، يمكنك تغيير كلمة المرور الخاصة بحسابك من خلال إعدادات الملف الشخصي.
ماذا أفعل إذا نسيت كلمة المرور الخاصة بي؟,"يمكنك استخدام خيار ""نسيت كلمة المرور"" على صفحة تسجيل الدخول لإعادة تعيينها."
هل أحتاج إلى تقديم هوية للتحقق من شخصيتي؟,قد يُطلب منك تقديم إثبات هوية عند التسجيل أو في حالات معينة لضمان سلامة بياناتك وتوافقها مع اللوائح.
هل يمكن للأطباء تقديم شهادات مرضية إلكترونية؟,نعم، في بعض الحالات التي تستدعي ذلك، يمكن للطبيب إصدار شهادة مرضية إلكترونية معتمدة.
هل خدمة الرعاية النفسية تشمل جلسات علاج سلوكي معرفي (CBT)؟,نعم، يقدم أخصائيونا النفسيون جلسات علاج سلوكي معرفي وتقنيات أخرى للعلاج النفسي.
هل يمكنني الحصول على وصفة طبية قابلة للتجديد؟,يعتمد ذلك على تقييم الطبيب ونوع الدواء، حيث يمكن إصدار وصفات قابلة للتجديد لبعض الحالات.
هل توفرون تقارير طبية شاملة بعد الاستشارة؟,نعم، يمكنك الحصول على ملخص للاستشارة يتضمن التشخيص، خطة العلاج، والأدوية الموصوفة.
هل هناك حدود لعدد الاستشارات التي يمكنني الحصول عليها؟,يعتمد ذلك على الباقة التي اشتركت بها. بعض الباقات توفر عددًا محدودًا، بينما تتيح أخرى استشارات غير محدودة.
هل يمكنني الحصول على رأي طبي ثانٍ؟,نعم، يمكنك حجز استشارة مع طبيب آخر للحصول على رأي طبي ثانٍ، وذلك ضمن الخدمات المتاحة.
هل تتوفر خدمات طب الأسنان عن بعد؟,حاليًا لا نقدم خدمات طب الأسنان عن بعد، ولكننا نسعى لتوسيع نطاق التخصصات مستقبلاً.
هل يمكنني استشارة طبيب أخصائي دون تحويل من طبيب عام؟,نعم، يمكنك حجز موعد مباشر مع الطبيب الأخصائي الذي تختاره.
هل يتم تتبع الأدوية بعد شحنها؟,نعم، نوفر خدمة تتبع الشحنات للأدوية لضمان وصولها بأمان وفي الوقت المحدد.
هل تتوفر خدمة الاستشارات الصوتية فقط بدون فيديو؟,نعم، بعض الأطباء قد يقدمون خيار الاستشارة الصوتية فقط، وذلك يعتمد على تفضيل الطبيب ونوع الحالة.
كيف يمكنني التأكد من كفاءة الأطباء؟,يتم اختيار الأطباء بعناية فائقة بناءً على مؤهلاتهم، خبرتهم، وتراخيصهم المهنية، ويتم تقييم أدائهم باستمرار.
هل يمكن للأطباء وصف أدوية نفسية؟,يمكن للأطباء النفسيين المرخصين وصف الأدوية النفسية إذا رأوا ضرورة لذلك، وفقًا للوائح المحلية.
ما هي ساعات استجابة الدعم الفني عبر البريد الإلكتروني؟,نهدف إلى الرد على جميع الاستفسارات عبر البريد الإلكتروني خلال 24 ساعة عمل.
هل يمكنني إلغاء موعد الصيدلية والتوصيل؟,نعم، يمكن إلغاء الطلب قبل عملية الشحن، يرجى التواصل مع الدعم الفني في أقرب وقت ممكن.
هل هناك رسوم خفية على الخدمات؟,لا، جميع الرسوم والتكاليف موضحة بشفافية تامة قبل إتمام عملية الدفع.
هل يمكنني الاحتفاظ بسجلي الطبي على جهازي الخاص؟,يمكنك تنزيل نسخة من ملخص الاستشارات والتقارير المتاحة لك على المنصة.
هل تتوافق المنصة مع متصفحات الإنترنت المختلفة؟,نعم، تم تصميم المنصة لتكون متوافقة مع معظم متصفحات الإنترنت الشائعة (كروم، فايرفوكس، سفاري، إيدج).
